Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,18-Oct-2016,,,,,,,,,,12:55,3.32,2.58,,N/A,N/A,3.32,2.58,948.55,948.55,N/M,N/M,,
,30-May-2017,,,,,,,,,,14:25,3.79,3.05,,N/A,N/A,3.79,3.05,948.08,948.08,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,13:05,3.31,2.57,,N/A,N/A,3.31,2.57,948.56,948.56,9.15,N/M,,
,15-May-2018,,,,,,,,,,16:25,5.27,4.53,,N/A,N/A,5.27,4.53,946.60,946.60,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:00,4.53,3.79,,N/A,N/A,4.53,3.79,947.34,947.34,9.14,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
PIEZO B,07-Jun-2016,952.15,952.89,0.74,3.60,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,11:40,2.97,2.23,,N/A,N/A,2.97,2.23,949.92,949.92,3.55,N/M,645635.285,5867806.955
,18-Oct-2016,,,,,,,,,,10:15,1.72,0.98,,N/A,N/A,1.72,0.98,951.17,951.17,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:55,2.45,1.71,,N/A,N/A,2.45,1.71,950.44,950.44,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,13:50,2.26,1.52,,N/A,N/A,2.26,1.52,950.63,950.63,3.52,N/M,,
,15-May-2018,,,,,,,,,,17:30,3.43,2.69,,N/A,N/A,3.43,2.69,949.46,949.46,3.53,N/M,,
,10-Oct-2018,,,,,,,,,,16:30,3.05,2.31,,N/A,N/A,3.05,2.31,949.84,949.84,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
TH12,07-Jun-2016,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,11:45,3.52,3.06,,N/A,N/A,3.52,3.06,949.01,949.01,4.18,N/M,645636.573,5867775.128
,18-Oct-2016,,,,,,,,,,13:00,2.86,2.40,,N/A,N/A,2.86,2.40,949.67,949.67,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:55,3.20,2.74,,N/A,N/A,3.20,2.74,949.33,949.33,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,13:40,2.66,2.20,,N/A,N/A,2.66,2.20,949.87,949.87,4.16,N/M,,
,15-May-2018,,,,,,,,,,16:50,3.64,3.18,,N/A,N/A,3.64,3.18,948.89,948.89,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:45,3.36,2.90,,N/A,N/A,3.36,2.90,949.17,949.17,4.18,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-9,07-Jun-2016,950.03,950.53,0.50,6.00,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,13:45,2.480,1.980,2.450,0.030,0.024,2.456,1.956,948.050,948.074,8.19,N/M,645621.368,5867630.473
,18-Oct-2016,,,,,,,,,,14:30,1.395,0.895,1.365,0.030,0.024,1.371,0.871,949.135,949.159,N/M,N/M,,
,30-May-2017,,,,,,,,,,11:20,1.194,0.694,1.190,0.004,0.003,1.191,0.691,949.336,949.339,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:15,1.54,1.04,,N/A,N/A,1.54,1.04,948.99,948.99,8.18,N/M,,
,15-May-2018,,,,,,,,,,14:30,2.820,2.320,2.816,0.004,0.003,2.817,2.317,947.710,947.713,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,13:25,2.203,1.703,2.200,0.003,0.002,2.201,1.701,948.327,948.329,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-11-2,07-Jun-2016,947.56,948.09,0.53,12.00,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,12:45,2.44,1.91,,N/A,N/A,2.44,1.91,945.65,945.65,12.57,N/M,645510.069,5867690.970
,18-Oct-2016,,,,,,,,,,13:45,1.65,1.12,,N/A,N/A,1.65,1.12,946.44,946.44,N/M,N/M,,
,30-May-2017,,,,,,,,,,14:10,2.41,1.88,,N/A,N/A,2.41,1.88,945.68,945.68,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:07,1.59,1.06,,N/A,N/A,1.59,1.06,946.50,946.50,N/M,N/M,,
,14-May-2018,,,,,,,,,,14:15,2.93,2.40,,N/A,N/A,2.93,2.40,945.16,945.16,12.60,N/M,,
,10-Oct-2018,,,,,,,,,,09:33,1.87,1.34,,N/A,N/A,1.87,1.34,946.22,946.22,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-20,07-Jun-2016,950.65,950.95,0.30,6.00,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,13:55,2.950,2.650,2.900,0.050,0.040,2.910,2.610,948.000,948.040,5.22,N/M,645660.727,5867634.825
,18-Oct-2016,,,,,,,,,,14:30,1.49,1.19,,N/A,N/A,1.49,1.19,949.46,949.46,N/M,N/M,,
,30-May-2017,,,,,,,,,,11:35,1.390,1.090,1.389,0.001,0.001,1.389,1.089,949.560,949.561,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:35,1.76,1.46,,N/A,N/A,1.76,1.46,949.19,949.19,5.26,N/M,,
,15-May-2018,,,,,,,,,,14:40,3.25,2.95,,N/A,N/A,3.25,2.95,947.70,947.70,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,13:38,2.593,2.293,2.590,0.003,0.002,2.591,2.291,948.357,948.359,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-22-2,07-Jun-2016,949.82,950.53,0.71,7.50,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,10:10,2.69,1.98,,N/A,N/A,2.69,1.98,947.84,947.84,8.15,N/M,645569.437,5867711.150
,18-Oct-2016,,,,,,,,,,12:50,2.23,1.52,,N/A,N/A,2.23,1.52,948.30,948.30,N/M,N/M,,
,30-May-2017,,,,,,,,,,13:55,2.10,1.39,,N/A,N/A,2.10,1.39,948.43,948.43,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:20,1.77,1.06,,N/A,N/A,1.77,1.06,948.76,948.76,N/M,N/M,,
,15-May-2018,,,,,,,,,,16:05,2.15,1.44,,N/A,N/A,2.15,1.44,948.38,948.38,8.15,N/M,,
,10-Oct-2018,,,,,,,,,,14:57,1.62,0.91,,N/A,N/A,1.62,0.91,948.91,948.91,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-49,07-Jun-2016,950.46,951.17,0.71,6.00,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,14:10,3.40,2.69,,N/A,N/A,3.40,2.69,947.77,947.77,6.61,N/M,645643.556,5867644.957
,18-Oct-2016,,,,,,,,,,15:45,2.00,1.29,,N/A,N/A,2.00,1.29,949.17,949.17,N/M,N/M,,
,30-May-2017,,,,,,,,,,12:50,1.96,1.25,,N/A,N/A,1.96,1.25,949.21,949.21,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:32,2.25,1.54,,N/A,N/A,2.25,1.54,948.92,948.92,N/M,N/M,,
,15-May-2018,,,,,,,,,,15:05,3.75,3.04,,N/A,N/A,3.75,3.04,947.42,947.42,6.64,N/M,,
,10-Oct-2018,,,,,,,,,,13:50,3.16,2.45,,N/A,N/A,3.16,2.45,948.01,948.01,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-50,07-Jun-2016,950.50,951.59,1.10,4.50,946.00,1.50 - 4.50,949.00 - 946.00,N/A,N/A,14:07,2.44,1.34,,N/A,N/A,2.44,1.34,949.15,949.15,5.29,N/M,645642.944,5867645.780
